Rank,era,nominator_dune_url,Subscan,delegated_cnt,delegated_amounts,staking_rewards,staking_effective_apr
1,<a href='https://dune.com/substrate/polkadot-staking-era?era=1810' target='_blank'>1810</a>,<a href='https://dune.com/substrate/polkadot-staking-nominators?nominator_ss58_td9066=16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD' target='_blank'>16ZL...zzBD</a>,<a href='https://polkadot.subscan.io/account/16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD' target='_blank'>Account</a>,16,36151918.628760986,7499.2683357106425,0.07571473510555962
2,<a href='https://dune.com/substrate/polkadot-staking-era?era=1810' target='_blank'>1810</a>,<a href='https://dune.com/substrate/polkadot-staking-nominators?nominator_ss58_td9066=15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK' target='_blank'>15j4...vDCK</a>,<a href='https://polkadot.subscan.io/account/15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK' target='_blank'>Account</a>,15,17970165.963448912,5745.136495584665,0.11669201192429846
3,<a href='https://dune.com/substrate/polkadot-staking-era?era=1810' target='_blank'>1810</a>,<a href='https://dune.com/substrate/polkadot-staking-nominators?nominator_ss58_td9066=14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ' target='_blank'>14Ns...pPDJ</a>,<a href='https://polkadot.subscan.io/account/14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ' target='_blank'>Account</a>,15,17969781.393657032,5735.6835475384505,0.11650250211672059
4,<a href='https://dune.com/substrate/polkadot-staking-era?era=1810' target='_blank'>1810</a>,<a href='https://dune.com/substrate/polkadot-staking-nominators?nominator_ss58_td9066=1GVe7pAK2Pc4TVGuPBYbEU82VmaiQhKjFTzECpX7GGXgzBB' target='_blank'>1GVe...gzBB</a>,<a href='https://polkadot.subscan.io/account/1GVe7pAK2Pc4TVGuPBYbEU82VmaiQhKjFTzECpX7GGXgzBB' target='_blank'>Account</a>,10,11919878,4705.675067025716,0.14409303513545912
5,<a href='https://dune.com/substrate/polkadot-staking-era?era=1810' target='_blank'>1810</a>,<a href='https://dune.com/substrate/polkadot-staking-nominators?nominator_ss58_td9066=16GMHo9HZv8CcJy4WLoMaU9qusgzx2wxKDLbXStEBvt5274B' target='_blank'>16GM...274B</a>,<a href='https://polkadot.subscan.io/account/16GMHo9HZv8CcJy4WLoMaU9qusgzx2wxKDLbXStEBvt5274B' target='_blank'>Account</a>,11,11339606.562547721,3303.6939026549435,0.10633951608618517
6,<a href='https://dune.com/substrate/polkadot-staking-era?era=1810' target='_blank'>1810</a>,<a href='https://dune.com/substrate/polkadot-staking-nominators?nominator_ss58_td9066=13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y' target='_blank'>13Sk...LS3Y</a>,<a href='https://polkadot.subscan.io/account/13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y' target='_blank'>Account</a>,10,10529305.660782956,3359.374328710687,0.11645322773241851
7,<a href='https://dune.com/substrate/polkadot-staking-era?era=1810' target='_blank'>1810</a>,<a href='https://dune.com/substrate/polkadot-staking-nominators?nominator_ss58_td9066=13Th6PcjJ468fy2cQeVDDdHE6ycJ3sFQ5S9wHiQRDkCKR6Tz' target='_blank'>13Th...R6Tz</a>,<a href='https://polkadot.subscan.io/account/13Th6PcjJ468fy2cQeVDDdHE6ycJ3sFQ5S9wHiQRDkCKR6Tz' target='_blank'>Account</a>,10,10000039.382313354,3209.6854350796525,0.11715305700456718
8,<a href='https://dune.com/substrate/polkadot-staking-era?era=1810' target='_blank'>1810</a>,<a href='https://dune.com/substrate/polkadot-staking-nominators?nominator_ss58_td9066=13KJ3t8w1CKMkXCmZ6s3VwdWo4h747kXE88ZNh6rCBTvojmM' target='_blank'>pos.dog</a>,<a href='https://polkadot.subscan.io/account/13KJ3t8w1CKMkXCmZ6s3VwdWo4h747kXE88ZNh6rCBTvojmM' target='_blank'>Account</a>,8,10000000.000152351,3186.4226099808216,0.11630442526252807
9,<a href='https://dune.com/substrate/polkadot-staking-era?era=1810' target='_blank'>1810</a>,<a href='https://dune.com/substrate/polkadot-staking-nominators?nominator_ss58_td9066=13E7LXW3NGYAJGKugiEitKZ4XjR4MXBs4ZhE1bkwBAaAoBCn' target='_blank'>13E7...oBCn</a>,<a href='https://polkadot.subscan.io/account/13E7LXW3NGYAJGKugiEitKZ4XjR4MXBs4ZhE1bkwBAaAoBCn' target='_blank'>Account</a>,9,10000000.000028672,2739.9883148652543,0.10000957349229504
10,<a href='https://dune.com/substrate/polkadot-staking-era?era=1810' target='_blank'>1810</a>,<a href='https://dune.com/substrate/polkadot-staking-nominators?nominator_ss58_td9066=14gAowz3LaAqYkRjqUZkjZUxKFUzLtN2oZJSfr3ziHBRhwgc' target='_blank'>14gA...hwgc</a>,<a href='https://polkadot.subscan.io/account/14gAowz3LaAqYkRjqUZkjZUxKFUzLtN2oZJSfr3ziHBRhwgc' target='_blank'>Account</a>,7,8990099.523384266,2853.7857488995173,0.11586432337472145
